id,name,followers,popularity,genres,main_genre
0JLkCNYljbAFGl7AyBTzzr,AUXILIÖ,1423,3,['hardcore punk'],Rock
3bjlavnEmvheUS5aWw3cAm,The Cuf,1157,3,['hip house'],Hip-Hop
0H9OMYzbyEWjp1n0whVZFo,The RBG Family,72,8,[],Hip-Hop
0iiLXqyZWmbr5ejBjjd7uQ,The Filaments,5665,12,"['ska punk', 'ska', 'punk']",Folk
544C9dMVoIWpKmJ0CX0xnC,Stic,1848,18,[],Hip-Hop
7dySOj1YP7XPGUmCbmvaSu,GSPD,34,8,[],Electronic
60Zpxsk0QxhPEyyvWfSv0I,Kaonashi,52603,33,"['mathcore', 'metalcore', 'post-hardcore']",Rock
3ni9LX95aVQksOuoHFEbEx,Reggie Watts,77259,38,"['comedy', 'jazz house']",Pop
2B3mYtzGes0f92Yfn4mVQD,Kronos,20151,44,"['hardstyle', 'frenchcore', 'hardcore']",Electronic
7IqV8IsBT9nBs3lvXsv0wF,Entrepreneurs,372,0,['new rave'],Electronic
2anxHOHdqE0LvI8eGcc6k2,Tonite Only,3748,15,"['melbourne bounce', 'bounce']",Electronic
1NtMiyzk7AhY2SGkdPkafX,Ralvero,32903,24,"['big room', 'electro house']",Electronic
4ucIxjoWFS3n9KvguhTWpz,TrippyThaKid,88396,52,[],Hip-Hop
49xcIDVId0Sp8C7GQFtJJj,Anal Cunt,54920,29,['grindcore'],Rock
2F4vlQrJakgfJhEW93DFcZ,Mally Mall,11917,37,[],Hip-Hop
0OKOm3I4JxCKm7MGpf2ToR,Ray Rockman,7769,21,['emo rap'],Hip-Hop
723eM08XdPbUgcDh8Ql0rN,The Subhumans,6005,13,"['hardcore punk', 'punk']",Rock
5OF7CQG6fQDg0i01lQJjTA,MedizenKid,1269,15,['emo rap'],Hip-Hop
3drEaBmm4UexsiDfz5AzXV,RBX,58477,54,"['g-funk', 'west coast hip hop', 'old school hip hop', 'gangster rap']",Hip-Hop
05cqfWVtssCo3KVcqEAYG3,Jewell,8893,54,"['g-funk', 'west coast hip hop']",Hip-Hop
6vDzxtxNfhyMAtZSLb5IUl,The Beltones,6064,22,['punk'],Rock
0OEYE03fBF2VoTBxGuaUxL,Chri$tian Gate$,372922,63,[],Electronic
3Qafrmyu3JRH1fmA7saOCn,Bondo,1015,14,['celtic punk'],Rock
7z5b21bvuxWUaZTTMQJaOz,Hub City Stompers,7041,20,"['ska', 'ska punk', 'rocksteady']",Folk
0F2wxiqB68YCLtQaCe9e6Z,Smut Peddlers,25923,35,"['punk', 'skate punk', 'hardcore punk']",Rock
2ZTd1ErAfMHBgLDKSv7aKW,Elation,2123,34,['future bass'],Electronic
0M898uhr3b4OPIUC4pse47,Sin With Sebastian,18160,44,['eurodance'],Electronic
2fbMVA50K2vv0HZ4R358UE,Bewitched,15569,18,"['speed metal', 'thrash metal', 'black metal']",Rock
4ZznAOb4aE3va5Jz1iDpjc,Conquer Divide,136315,50,['metalcore'],Rock
6jxGLrn1I14RIeRYodOpLN,Łaszewo,95382,65,['stutter house'],Electronic
0k4t6CgTa017VoLxokJn8t,The Muslims,30989,27,"['queercore', 'riot grrrl', 'punk']",Rock
1bqX4oZFTWIQFk90AwKfnC,Drenge,57466,25,['garage rock'],Rock
4kpqcgUgRF4Ab0FnCa141F,The Kill,5804,5,['grindcore'],Rock
6tIgdyPfc6RVQJKCDd9ep9,Bodega Bamz,61371,33,[],Hip-Hop
0qFGOYMp02kOJbHUXEMiXz,Archibald Slim,8174,23,['underground hip hop'],Hip-Hop
6QU6LPYJcoBRZhC2qpPfpv,Huggy Bear,13315,9,"['riot grrrl', 'queercore']",Rock
6ZoJKjLxwRHlReRww0uao4,öOoOoOoOoOo,20886,20,['avant-garde'],Classical
35m8xtAGmqjnArbq8Xnndp,16,13471,20,"['sludge metal', 'stoner metal', 'drone metal', 'doom metal', 'noise rock', 'stoner rock']",Rock
3nasc5I5Nmzq7KgKENcetM,Amduscia,26535,26,"['ebm', 'industrial', 'industrial metal', 'darkwave']",Electronic
2LY0E3xg8svCVYXVNTze5T,Vanic,105836,46,['future bass'],Electronic
5FvynJ5rFQHiDodyvcdOSS,Dreamon,4366,12,['norwegian hip hop'],Hip-Hop
6YD0wQTfVBTr0lhMZXuQg7,Kacey Walker,147,20,[],Country
2K13AVg3bFpHSxDM1vJ0qA,CSS,181932,41,"['electroclash', 'new rave', 'alternative dance']",Electronic
0oehZWYTU3DazM5gV7i6Op,Eliza Legzdina,4123,34,[],Electronic
3orc30EUucavid98kNtMEf,Cosmic Psychos,35814,36,"['noise rock', 'punk']",Rock
0Dc2rdPzleezxhvQhQbXuS,IDRIS,151015,46,[],Electronic
0GM7qgcRCORpGnfcN2tCiB,Tainy,3596474,80,['reggaeton'],Pop
551EawRj5350YQYs1MC2Ot,Devon Hendryx,181938,59,"['cloud rap', 'experimental hip hop', 'plunderphonics']",Hip-Hop
